ID ARTIGO,Recurso,Categoria,link plataforma,Tipo de Sistema,Problema de Acessibilidade,Custo,Automatizado,Tecnologias Compatíveis,Relatos com relação a eficácia,Limitações,Público,Serve para projetos pequenos ou grandes Empresas?,Necessita treinamento?,Tempo que o profissinal usou a ferramenta
14,Accessible Design Principles (POUR),"desenvolvimento, boas práticas",,"WEB, mobile",interfaces não inclusivas / dificuldades de uso para diferentes tipos de deficiência,gratuito,não,não se aplica,"Permitiu avaliação manual estruturada da plataforma em quatro dimensões (Perceivable, Operable, Understandable, Robust), revelando falhas específicas em cada categoria.",Não informado.,"auditores, Especialista em acessibilidade",não informa,não informado,não informado
14,PageSpeed Insights,"teste, validação",,WEB,avaliação de acessibilidade da página / identificação de problemas gerais de acessibilidade,não informado,sim,não especificado,O site obteve 93/100 em acessibilidade mobile e 77/100 em acessibilidade web.,Não informado.,"auditores, Especialista em acessibilidade",não informa,não informado,não informado
15,Axe DevTools,"teste, validação, desenvolvimento",,WEB,detecção de problemas WCAG em páginas específicas,gratuito,sim,browser,Ferramenta gratuita para o browser que escaneia a página e identifica problemas de acessibilidade automaticamente enquanto se codifica.,Não informado.,"DEV individual, Engenheiros",não informa,não informado,não informado
15,Lighthouse,"teste, validação",,WEB,avaliação de acessibilidade e pontuação de qualidade,não informado,sim,Chrome,"Auxilia muito no teste de performance, SEO e acessibilidade, atribuindo pontuações; quanto maior, melhor.",Não informado.,"DEV individual, Engenheiros",não informa,não informado,não informado
15,Axe Lint,"validação, desenvolvimento",,WEB,erros básicos no código (ex: falta de alt em imagens),não informado,sim,VS code," Mitiga problemas básicos de acessibilidade, alertando sobre itens como ausência de texto alternativo em imagens.","""We can mitigate some basic accessibility issues using the Axe Lint extension for VS Code, this tool will warn you about basic accessibility things like missing alt text on images."" ""Podemos mitigar alguns problemas básicos de acessibilidade usando a extensão Axe Lint para VS Code, esta ferramenta irá avisá-lo sobre coisas básicas de acessibilidade, como a falta de texto alternativo em imagens.""","DEV individual, Engenheiros",não informa,não informado,não informado
15,Contrast (Figma Plugin),"teste, boas práticas",,"WEB, design",problemas de contraste de cores,não informado,sim,FIGMA,Plugin simples e fácil que verifica contraste de cores e fontes no Figma com base no padrão WCAG mais recente; também permite alterar a paleta de cores rapidamente.,Não informado.,"DEV individual, designers",não informa,não informado,não informado
15,Axe for Designers (Figma Plugin),"teste, validação, desenvolvimento",,"WEB, design",avaliação de acessibilidade em interfaces de design,não informado,sim,FIGMA,Plugin mais robusto e preciso que o Contrast para verificar acessibilidade no Figma; faz handover para o desenvolvedor com anotações essenciais de acessibilidade.,Não informado.,"DEV individual, designers",não informa,não informado,não informado
15,Color Contrast Checker (Coolors),"teste, boas práticas",,WEB,verificação de contraste de cores,não informado,sim,não especificado,Verificador simples de contraste de texto que indica se as cores têm bom contraste e permite alterar a paleta rapidamente.,Não informado.,"DEV individual, designers",não informa,não informado,não informado
16,Accessible Design Principles (POUR),"desenvolvimento, boas práticas",,"WEB, mobile",interfaces não inclusivas / dificuldades de uso para diferentes tipos de deficiência,gratuito,não,não se aplica,"O artigo apresenta os princípios POUR (Perceivable, Operable, Understandable e Robust) como a base do design acessível. Esses princípios ajudam a criar interfaces utilizáveis por pessoas com diferentes capacidades físicas, cognitivas e sensoriais.",Não informado.,"designers, DEV individual, Equipe , criador de conteúdo",não informa,Não informado.,não informado
16,WebAIM Contrast Checker,"teste, boas práticas",,WEB,baixo contraste de cores,não informado,sim,não especificado,Auxilia na verificação do contraste entre texto e plano de fundo para garantir melhor legibilidade e acessibilidade visual.,Não informado.,"designers, DEV individual, Especialista em acessibilidade",não informa,Não informado.,não informado
16,WAVE,"teste, validação",,WEB,detecção de problemas de acessibilidade,não informado,sim,browser,"Fornece feedback visual sobre problemas de acessibilidade diretamente na página, destacando elementos que precisam de correção.",Não informado.,"designers, DEV individual, Equipe , Especialista em acessibilidade",não informa,Não informado.,não informado
16,Axe DevTools,"teste, validação, desenvolvimento",,WEB,detecção de problemas WCAG em páginas específicas,não informado,sim,browser,Identifica problemas de acessibilidade e fornece orientações sobre como corrigi-los.,Não informado.,"designers, DEV individual, Equipe , Especialista em acessibilidade",não informa,Não informado.,não informado
16,Lighthouse,"teste, validação",,WEB,avaliação de acessibilidade ,não informado,sim,Chrome,Realiza auditorias de acessibilidade em páginas web e gera relatórios detalhados dos problemas encontrados.,Não informado.,"designers, DEV individual, Equipe",não informa,Não informado.,não informado
16,User Testing,"teste, boas práticas",,"WEB, mobile",problemas reais não detectados por ferramentas,não informado,não,não se aplica,"Permite obter feedback real de usuários com deficiência, ajudando a identificar problemas de acessibilidade que podem não ser detectados por ferramentas automatizadas.",Não informado.,"DEV individual, Equipe , Especialista em acessibilidade, designers, criador de conteúdo",não informa,Não informado.,não informado
17,Accessible Design Principles (POUR),"desenvolvimento, boas práticas",,"WEB, mobile",interfaces não inclusivas / dificuldades de uso para diferentes tipos de deficiência,gratuito,não,não se aplica,"O artigo apresenta os princípios POUR como base para o desenvolvimento de software acessível. Eles orientam a criação de interfaces perceptíveis, operáveis, compreensíveis e robustas, reduzindo barreiras para pessoas com diferentes tipos de deficiência.",Não informado.,"DEV individual, Equipe , Engenheiros, Especialista em acessibilidade",não informa,Não informado.,não informado
17,Axe DevTools,"teste, validação, desenvolvimento",,WEB,detecção automática de violações WCAG,gratuito,sim,"Selenium, browser, CLI","Realiza verificações abrangentes de acessibilidade em páginas web, identifica violações de acessibilidade e gera relatórios detalhados com orientações para correção. Pode ser integrado a frameworks de teste como Selenium.",Não informado.,"DEV individual, Equipe , Especialista em acessibilidade",não informa,Não informado.,não informado
17,WAVE,"teste, validação",,WEB,detecção de problemas de acessibilidade,não informado,sim,browser,"Avalia a acessibilidade de páginas web analisando HTML e CSS. Destaca visualmente erros de acessibilidade e sugere possíveis soluções. Também oferece análise de contraste, validação ARIA e inspeção estrutural.",Não informado.,"DEV individual, Equipe",não informa,Não informado.,não informado
17,Pa11y,"teste, validação, desenvolvimento",,WEB,testes automatizados de acessibilidade em pipelines,não informado,sim,"CI/CD, CLI, API","Ferramenta automatizada que testa páginas web com base em padrões de acessibilidade como WCAG. Pode ser integrada a pipelines de integração contínua e processos de build, além de permitir personalização dos testes.",Não informado.,"DEV individual, Equipe",não informa,Não informado.,não informado
17,Tenon.ai (Level Access),"teste, validação, desenvolvimento",,WEB,detecção de problemas WCAG / testes em larga escala,não informado,sim,API,"Plataforma em nuvem para testes automatizados de acessibilidade. Possui APIs e integrações com ferramentas de desenvolvimento, além de recursos para testes em lote, rastreamento de problemas e colaboração.",Não informado.,"DEV individual, Equipe",não informa,Não informado.,não informado
17,Deque AXE Coconut,"teste, validação, desenvolvimento",,"WEB, mobile",testes automatizados em aplicações web e mobile,não informado,sim,"browser, mobile, emuladores","Solução comercial de testes automatizados de acessibilidade para aplicações web e móveis. Possui recursos avançados como análise de conteúdo dinâmico, suporte a aplicações de página única (SPA) e integração com sistemas de rastreamento de problemas.",Não informado.,"DEV individual, Equipe , Especialista em acessibilidade",não informa,Não informado.,não informado
17,Lighthouse,"teste, validação, boas práticas",,WEB,avaliação de acessibilidade ,não informado,sim,Chrome,Gera relatórios de acessibilidade com base nas diretrizes WCAG e fornece recomendações para melhorar as pontuações de acessibilidade. Pode ser executado diretamente no Chrome ou por linha de comando.,"""While primarily focused on performance and best practices, Lighthouse also includes accessibility auditing capabilities.""
 ""Embora focado principalmente em desempenho e melhores práticas, o Lighthouse também inclui recursos de auditoria de acessibilidade.""","DEV individual, Equipe , testadores",não informa,Não informado.,não informado
18,Axe DevTools,"teste, validação, desenvolvimento",,WEB,detecção automática de violações WCAG,não informado,sim,"Chrome, Firefox","Permite que desenvolvedores e testadores executem testes automatizados de acessibilidade em páginas web, gerando relatórios detalhados sobre problemas que precisam de correção. Suporta as diretrizes WCAG e possui interface amigável.",Não informado.,"DEV individual, Equipe , Especialista em acessibilidade, testadores",não informa,Não informado.,não informado
18,WAVE,"teste, validação",,WEB,detecção de problemas de acessibilidade,não informado,sim,"Chrome, Firefox",Permite avaliar conteúdo web em busca de problemas de acessibilidade diretamente no navegador. Identifica erros e auxilia na compreensão da estrutura do conteúdo da página.,Não informado.,"DEV individual, Equipe , Especialista em acessibilidade, testadores",não informa,Não informado.,não informado
18,SiteImprove,"teste, validação, boas práticas",,WEB,monitoramento e auditoria de acessibilidade /conformidade WCAG / qualidade do site,não informado,sim,não especificado,"Plataforma abrangente que oferece recursos para acessibilidade, SEO, qualidade, conformidade e análise. Seu módulo de acessibilidade auxilia na identificação e correção de problemas de acessibilidade, contribuindo para a conformidade com as WCAG.",Não informado.,Equipe,não informa,Não informado.,não informado
18,NVDA,teste,,WEB,testar compatibilidade com leitores de tela,gratuito,não,Windows,Leitor de tela gratuito e de código aberto que fornece uma interface baseada em voz para auxiliar pessoas com deficiência visual na navegação por conteúdos web e aplicações. É frequentemente utilizado em testes de acessibilidade para identificar barreiras de uso.,Não informado.,testadores,não informa,Não informado.,não informado
18,AccessiBe,"teste, validação, desenvolvimento",,WEB,ajustes automáticos de acessibilidade,não informado,sim,web,"Solução baseada em inteligência artificial que melhora a acessibilidade de websites por meio de ajustes automáticos na interface, melhoria da navegação por teclado e otimização da compatibilidade com leitores de tela. Oferece monitoramento contínuo e recursos de personalização.","""Keep in mind that for a comprehensive approach, manual accessibility testing is also recommended."" ""Tenha em mente que, para uma abordagem abrangente, o teste de acessibilidade manual também é recomendado.""","proprietários do site, Equipe , DEV individual",não informa,Não informado.,não informado
18,Deque WorldSpace,"teste, validação, documentação",,"WEB, mobile, desktop",monitoramento contínuo / conformidade,não informado,sim,"web, mobile, desktop","Ferramenta corporativa de acessibilidade que oferece testes automatizados, monitoramento contínuo e geração de relatórios para garantir conformidade permanente com padrões de acessibilidade.",Não informado.,"Equipe , Especialista em acessibilidade",Empresas,,não informado
19,Accessible Design Practices,"desenvolvimento, boas práticas",,"WEB, mobile",barreiras de acesso / exclusão de usuários com deficiência,gratuito,não,não se aplica,"O artigo afirma que seguir práticas de design acessível promove inclusão, remove barreiras de acesso e ajuda a atender as diretrizes WCAG e requisitos legais de acessibilidade.",Não informado,"DEV individual, Equipe , criador de conteúdo","Projetos pequenos, Empresas",Não informado.,não informado
19,WAVE,"teste, validação",,WEB,detecção de problemas de acessibilidade,não informado,sim,não especificado,Identifica erros de acessibilidade e exibe a estrutura da página.,Não informado.,"DEV individual, Equipe , Especialista em acessibilidade","Projetos pequenos, Empresas",Não informado.,não informado
19,Axe DevTools,"teste, validação, desenvolvimento",,WEB,detecção de problemas WCAG em páginas específicas,não informado,sim,Chrome,Realiza testes de acessibilidade.,Não informado.,"DEV individual, Equipe , Especialista em acessibilidade","Projetos pequenos, Empresas",Não informado.,não informado
19,Accessibility Insights Microsoft,"teste, validação",,WEB,análise de acessibilidade,não informado,sim,Chrome,Auxilia na análise e identificação de problemas de acessibilidade.,Não informado.,"DEV individual, Equipe , Especialista em acessibilidade","Projetos pequenos, Empresas",Não informado.,não informado
19,Lighthouse,"teste, validação",,WEB,avaliação de acessibilidade ,não informado,sim,Chrome,Gera relatórios e sinaliza problemas básicos de acessibilidade.,"""Chrome DevTools — lighthouse report will flag basic accessibility issues.""
 ""Chrome DevTools — o relatório do Lighthouse sinalizará problemas básicos de acessibilidade.""","DEV individual, Equipe , Especialista em acessibilidade","Projetos pequenos, Empresas",Não informado.,não informado
20,Axe DevTools Pro,"teste, validação, desenvolvimento",,WEB,detecção de problemas de acessibilidade / apoio a testes manuais,pago/ trial disponivel,parcialmente,browser,"É uma extensão de navegador oferecida pela Deque que ajuda a identificar problemas de acessibilidade em páginas web de forma imediata. O motor de regras básico (axe Core rule engine) é eficaz para identificar 57% dos problemas de acessibilidade sozinhos. Ao utilizar o recurso integrado de Teste Guiado Inteligente (IGT - Intelligent Guided Testing), a ferramenta alcança uma eficácia de até 84% na identificação de bugs de acessibilidade. Ela suporta o fluxo de trabalho permitindo salvar resultados, baixar relatórios completos, visualizar suporte para correção (remediation support) e destacar visualmente os erros e suas localizações na tela."," ""...axe Core rule engine which is capable of identifying 57% accessibility issues on any given web page."" ""Deque also added the IGT (Intelligent Guided Testing) feature is axe Devtools Pro which can help developers and QA teams identify up to 84% of accessibility issues on any given web page.""
 ""...mecanismo de regras axe Core, que é capaz de identificar 57% dos problemas de acessibilidade em qualquer página web.""
""A Deque também adicionou o recurso IGT (Intelligent Guided Testing) ao axe Devtools Pro, que pode ajudar desenvolvedores e equipes de QA a identificar até 84% dos problemas de acessibilidade em qualquer página web.""","DEV individual, Equipe , designers, Especialista em acessibilidade",não informa,Não informado.,não informado
21,Accessible Design Practices,"desenvolvimento, boas práticas",,WEB,interfaces não inclusivas / falta de acessibilidade desde o início,gratuito,não,não se aplica,"Integrar práticas de design acessível desde o início expande o alcance de mercado, aprimora a imagem de marca e aumenta o Retorno sobre o Investimento (ROI). É eficaz para desmistificar o preconceito de que a acessibilidade limita a criatividade, servindo para criar designs inovadores que beneficiam tanto usuários com deficiências permanentes quanto aqueles em condições temporárias ou situacionais.",Não informado.,"DEV individual, Equipe , Especialista em acessibilidade, designers",não informa,Não informado.,não informado
21,WAVE,"teste, validação",,WEB,detecção de problemas de acessibilidade,não informado,sim,browser,"É citado na lista final de recursos do artigo como uma ferramenta de teste de acessibilidade web (""Web Accessibility Test Tools""), servindo para apoiar profissionais na validação e auditoria prática de interfaces.",Não informado.,"Equipe , não informado",não informa,Não informado.,não informado
21,Axe Accessibility Checker,"teste, validação, desenvolvimento",,WEB,detecção automática de problemas WCAG,não informado,sim,não especificado,"É citado na lista final de recursos do artigo como uma ferramenta de teste de acessibilidade web (""Web Accessibility Test Tools""), servindo para apoiar profissionais na validação e auditoria prática de interfaces.",Não informado.,não informado,não informa,Não informado.,não informado
21,Stark Plugin,"teste, boas práticas",,"WEB, design",problemas de contraste e design,não informado,sim,FIGMA,"É descrito como um plugin indispensável para os softwares Figma e Sketch. Atua de forma eficaz ao permitir que a equipe verifique o contraste de cores e simule diferentes formas de daltonismo diretamente dentro do ambiente de design, garantindo a conformidade visual antes da fase de codificação.",Não informado.,"designers, DEV individual, Equipe",não informa,Não informado.,não informado
21,A11Y Color Contrast Checker,"teste, boas práticas",,"WEB, design",verificação de contraste,não informado,sim,FIGMA,"É citado na lista final de recursos do artigo como uma ferramenta de teste de acessibilidade web (""Web Accessibility Test Tools""), servindo para apoiar profissionais na validação e auditoria prática de interfaces.",Não informado.,não informado,não informa,Não informado.,não informado
21,PageSpeed Insights,"teste, validação",,WEB,avaliação de acessibilidade da página / identificação de problemas gerais de acessibilidade,não informado,sim,web,"É citado na lista final de recursos do artigo como uma ferramenta de teste de acessibilidade web (""Web Accessibility Test Tools""), servindo para apoiar profissionais na validação e auditoria prática de interfaces.",Não informado.,não informado,não informa,Não informado.,não informado
21,WebAIM Contrast Checker,"teste, boas práticas",,WEB,baixo contraste de cores,não informado,sim,não especificado,"É referenciado de forma explícita na listagem final de ferramentas recomendadas pelo autor (""Web Accessibility Test Tools""). Funciona como um recurso essencial focado na validação de contraste e na garantia da legibilidade de elementos visuais do design.",Não informado.,"DEV individual, Equipe , criador de conteúdo",não informa,Não informado.,não informado
21,Coolors,"teste, boas práticas",,WEB,verificação de paleta e contraste,não informado,sim,não especificado,"É citado na lista final de recursos do artigo como uma ferramenta de teste de acessibilidade web (""Web Accessibility Test Tools""), servindo para apoiar profissionais na validação e auditoria prática de interfaces.",Não informado.,não informado,não informa,Não informado.,não informado
21,Contrast (Figma Plugin),"teste, boas práticas",,"WEB, design",problemas de contraste de cores,não informado,sim,FIGMA,"É citado na lista final de recursos do artigo como uma ferramenta de teste de acessibilidade web (""Web Accessibility Test Tools""), servindo para apoiar profissionais na validação e auditoria prática de interfaces.",Não informado.,não informado,não informa,Não informado.,não informado
21,Web Content Accessibility Guidelines (WCAG),"guias, documentação, boas práticas",,WEB,falta de padronização na criação de sistemas acessíveis,gratuito,não,não se aplica,"É apresentada como o padrão e a fundação técnica global para a criação de conteúdo web acessível. Seguir suas diretrizes serve como um guia essencial para assegurar que a equipe de desenvolvimento construa estruturas digitais robustas, utilizáveis e inclusivas.",Não informado.,"DEV individual, Equipe , Especialista em acessibilidade, designers",não informa,Não informado.,não informado
21,W3C Web Accessibility Initiative (WAI) Resources,"documentação, boas práticas",,WEB,falta de conhecimento e boas práticas de acessibilidade,gratuito,não,não se aplica,"Indicado pelo autor como uma das melhores referências disponíveis para encontrar orientações extensas, materiais educacionais abrangentes e tutoriais práticos detalhados sobre como implementar a acessibilidade no mundo real.",Não informado.,"DEV individual, Equipe , Especialista em acessibilidade, designers",não informa,Não informado.,não informado
21,GOV.UK Design System,"desenvolvimento, documentação, boas práticas",,WEB,falta de padronização em interfaces acessíveis,gratuito,não,não especificado,Citado diretamente como um exemplo primordial de excelência em acessibilidade na prática. Seus componentes e padrões estruturados servem como uma excelente referência técnica para guiar a criação de interfaces focadas na inclusão total.,Não informado,"DEV individual, Equipe , Especialista em acessibilidade, designers",não informa,Não informado.,não informado
21,U.S. Web Design System,"desenvolvimento, documentação, boas práticas",,WEB,padronização de interfaces acessíveis,gratuito,não,não especificado,Apontado ao lado do sistema britânico como um modelo exemplar no uso de bibliotecas de design inclusivo. Serve para orientar equipes técnicas na estruturação de componentes que respeitam rigorosamente a diversidade de habilidades dos usuários.,Não informado.,"DEV individual, Equipe , Especialista em acessibilidade, designers",não informa,Não informado.,não informado
21,A11Y Project Checklist,"desenvolvimento, boas práticas",,WEB,dificuldade de aplicar WCAG na prática,gratuito,não,"não especificado, não se aplica","Destacado como uma ferramenta extremamente valiosa por fornecer uma lista de verificação (checklist) rápida e acionável, ajudando os profissionais a validarem visual e estruturalmente se os seus critérios de design cumprem as metas básicas de acessibilidade.",Não informado.,"DEV individual, Equipe , Especialista em acessibilidade, designers",não informa,Não informado.,não informado
21,Dopely colors,"teste, validação",,WEB,"gerenciamento de cores, incluindo recursos para análise de acessibilidade.",não informado,não informado,não especificado,"Oferece um conjunto abrangente de ferramentas para gerenciamento de cores, incluindo recursos para análise de acessibilidade.",Não informado.,não informado,não informa,Não informado.,não informado
21,WebAIM’s CSS Resources,"documentação, boas práticas, desenvolvimento",,WEB,criação de interfaces web acessíveis utilizando CSS,não informado,não,CSS,Reúne artigos e dicas para a criação de interfaces web acessíveis utilizando CSS.,Não informado.,não informado,não informa,Não informado.,não informado
21,MDN Web Docs Accessibility,"documentação, boas práticas, desenvolvimento",,WEB,padronização de interfaces acessíveis,não informado,não,"CSS, HTML",A documentação da Mozilla fornece orientações detalhadas sobre o desenvolvimento de aplicações web acessíveis.,Não informado.,não informado,não informa,Não informado.,não informado
21,HTML5 Accessibility,"documentação, boas práticas, desenvolvimento",,WEB,suporte à acessibilidade dos recursos do HTML5 em diferentes navegadores.,não informado,não,"CSS, HTML",Reúne artigos e dicas para a criação de interfaces web acessíveis utilizando CSS.,Não informado.,não informado,não informa,Não informado.,não informado
22,Web Content Accessibility Guidelines (WCAG),"documentação, boas práticas",,WEB,falta de padronização na criação de sistemas acessíveis,gratuito,não,não se aplica,"Funciona como um mapa estruturado que orienta a moldar o ambiente digital, garantindo que as experiências sejam acessíveis para usuários com diversas deficiências. Demonstrar dedicação contínua a essas diretrizes ajuda a aprimorar a experiência geral do usuário e comprova o compromisso ético da marca com a equidade digital e a inclusão.",Não informado,"DEV individual, Equipe , designers, criador de conteúdo",Empresas,não informado,não informado
22,Color Contrast Analyzer,"teste, boas práticas",,"WEB, design",problemas de contraste de cores,não informado,sim,não especificado,"É descrita como uma ferramenta essencial para a criação de espaços digitais inclusivos, sendo altamente eficaz para aprimorar e garantir a acessibilidade visual dos elementos da interface.",Não informado,"DEV individual, Equipe , designers, criador de conteúdo",não informa,não informado,não informado
22,Lighthouse,"teste, validação",,WEB,avaliação de acessibilidade ,não informado,sim,Chrome,"É uma ferramenta essencial para auditar o ativo digital, atuando de forma eficaz ao ""iluminar"" e trazer diagnósticos claros sobre a acessibilidade e o desempenho técnico geral da página web.",Não informado.,"DEV individual, Equipe , designers, criador de conteúdo",não informa,não informado,não informado
22,WebAIM Contrast Checker,"teste, boas práticas",,WEB,baixo contraste de cores,não informado,sim,não especificado,É uma ferramenta fundamental de validação que atua diretamente para assegurar e certificar a legibilidade textual correta e a inclusão visual de todos os usuários dentro do site.,Não informado.,"DEV individual, Equipe , designers, criador de conteúdo",não informa,não informado,não informado
23,Axe-core,"teste, validação, desenvolvimento",,WEB,detecção automática de problemas WCAG,não informado,sim,"Chrome, Selenium","É eficaz para encontrar problemas de acessibilidade, mas encontra falhas e bugs diferentes em comparação com o Pa11y e o HTMLCS. Executá-lo diretamente via Node.js em formato de script (sem depender do Selenium) torna a configuração muito leve.","""I’ve always ran axe-core using Selenium and ChromeDriver. But this can be flaky as every time you update Chrome, your tests no longer work. Even if I’m using a version manager to switch between NodeJS versions, I still hit the issue of [ChromeDriver compatibility]..."" ""Eu sempre executei o axe-core usando Selenium e ChromeDriver. Mas isso pode ser instável, pois toda vez que você atualiza o Chrome, seus testes deixam de funcionar. Mesmo que eu esteja usando um gerenciador de versões para alternar entre as versões do NodeJS, ainda enfrento o problema de [compatibilidade do ChromeDriver]...""","DEV individual, Equipe , Especialista em acessibilidade, designers",não informa,não informado,não informado
23,Pa11y,"teste, validação, desenvolvimento",,WEB,testes automatizados de acessibilidade em pipelines,não informado,sim,"API, Mocha, Puppeteer","É uma ferramenta eficaz para rodar testes automatizados de acessibilidade. O autor destaca que o grande diferencial e eficácia do Pa11y é possuir um navegador Chrome integrado (headless Chrome browser), o que simplifica sua execução técnica. Descobre problemas diferentes do Axe-core.","""When I ran the tests for the initial comparison, it was using Selenium for axe-core and PA11Y’s own headless Chrome browser together. This was fine for what I was trying to do, but it made the tests slow, and in a real project it would be super inefficient.""  ""Quando executei os testes para a comparação inicial, estava usando o Selenium para o axe-core e o próprio navegador Chrome headless do PA11Y juntos. Isso foi aceitável para o que eu estava tentando fazer, mas tornou os testes lentos e, em um projeto real, seria super ineficiente.""
","DEV individual, Equipe , Especialista em acessibilidade, designers",não informa,não informado,não informado
23,HTML CodeSniffer (HTMLCS),"teste, validação",,WEB,detecção de violações WCAG,não informado,sim,integrado ao Pa11y,Funciona como um executor secundário/motor de testes (runner) integrado dentro da estrutura do Pa11y. É eficaz para apontar e detalhar em formato JSON o código exato do erro e a diretriz específica da WCAG que foi violada (como elementos de link vazios).,Não informado.,"DEV individual, Equipe , Especialista em acessibilidade, designers",não informa,não informado,não informado
24,WAVE,"teste, validação",,WEB,detecção de problemas de acessibilidade,não informado,sim,browser,"É uma ferramenta de avaliação de acessibilidade web que fornece feedback visual sobre a acessibilidade do conteúdo, injetando ícones diretamente na página visitada. É excelente para fornecer avaliações visuais rápidas do status de acessibilidade de um site.",Não informado.,"DEV individual, Equipe , Especialista em acessibilidade, designers",não informa,não informado,não informado
24,Lighthouse,"teste, validação",,WEB,avaliação de acessibilidade ,gratuito,sim,web,"É uma ferramenta automatizada e de código aberto desenvolvida pelo Google para melhorar a qualidade de páginas web. Ela executa uma série de testes automatizados direcionados contra a página e gera um relatório detalhado sobre o quão bem a página pontua em acessibilidade, fornecendo uma base sólida para otimização técnica.",Não informado.,"DEV individual, Equipe , Especialista em acessibilidade, designers",não informa,não informado,não informado
24,Axe DevTools,"teste, validação, desenvolvimento",,WEB,detecção de problemas WCAG em páginas específicas,não informado,sim,web,"É descrita como uma extensão poderosa desenvolvida pela Deque Systems. É altamente eficaz para aprimorar o processo de desenvolvimento de sites, pois identifica e ajuda a abordar uma ampla e detalhada variedade de problemas ocultos de acessibilidade (como botões e links que não possuem um texto perceptível).",Não informado.,"DEV individual, Equipe , Especialista em acessibilidade, designers",não informa,não informado,não informado
25,WordPress Accessibility Improvements,"desenvolvimento, boas práticas",,WEB,uso incorreto de HTML semântico / falta de estrutura / problemas em conteúdo dinâmico,gratuito,não,WordPress,"Aplicar papéis (roles) a cada comentário e rótulos (labels) em eventos colapsáveis é a melhor abordagem para melhorar a acessibilidade de seções dinâmicas de blogs no WordPress, otimizando a experiência do usuário e auxiliando no alcance de objetivos sociais e comerciais.",Não informado,"DEV individual, Equipe , designers",Projetos pequenos,Não informado,não informado
25,Accessible Media Implementation,"desenvolvimento, boas práticas",,WEB,"falta de alt text, legendas e descrições em mídias",gratuito,não,web,"Inserir manualmente transcrições, tags e descrições curtas em vídeos e imagens corrige a falha de mídias que possuíam apenas títulos gerados automaticamente, melhorando a acessibilidade geral do conteúdo visual e audiovisual.",Não informado.,"DEV individual, designers, Equipe",Projetos pequenos,Não informado.,não informado
25,Keyboard Accessibility,"teste, desenvolvimento",,WEB,falta de suporte a navegação por teclado,não informado,não,web,"É eficaz para garantir que as páginas web respondam de forma correta e lógica a comandos físicos fundamentais de navegação, como as setas para cima/para baixo e rolagem da tela.",Não informado.,"DEV individual, Equipe , designers, Especialista em acessibilidade",Projetos pequenos,Não informado.,não informado
25,Google Text-to-Speech Extension,teste,,WEB,testar leitura de conteúdo,não informado,não informado,browser,"É uma ferramenta útil e eficaz para testar e auditar diretamente a acessibilidade de áudio nas páginas do site, garantindo que o leitor consiga ditar o conteúdo textualmente para o usuário.",Não informado.,"DEV individual, Equipe , Especialista em acessibilidade, designers",Projetos pequenos,Não informado.,não informado
25,Yoast SEO,boas práticas,,WEB,organização de conteúdo e meta informações (indireto),não informado,parcialmente,WordPress,"Embora o autor esclareça que a ausência de meta descrição não seja um problema de acessibilidade e sim de SEO, a ferramenta do plugin Yoast é eficaz para permitir a adição fácil de meta descrições diretamente em publicações dinâmicas de blogs WordPress.",Não informado.,"criador de conteúdo, designers, DEV individual, Equipe",Projetos pequenos,Não informado.,não informado
26,Stark Plugin,"teste, boas práticas, desenvolvimento",,"WEB, design",problemas de contraste e design / dificuldade de avaliar acessibilidade em design / falta de validação na fase de protótipo,não informado,sim,não especificado,"É descrita como uma ferramenta proeminente que vai além da simples verificação de conformidade regulatória para aprimorar genuinamente a experiência do utilizador. Identifica elementos com baixo contraste , simula diversas deficiências visuais (como daltonismo e baixa visão) e oferece recursos visuais e feedback em tempo real que geram economia de tempo e custos ao mitigar revisões dispendiosas pós-desenvolvimento.",Não informado.,"Especialista em acessibilidade, DEV individual, Equipe , designers",Empresas,não informado,não informado
27,Web Content Accessibility Guidelines (WCAG),"documentação, boas práticas",,WEB,falta de padronização na criação de sistemas acessíveis,gratuito,não,não se aplica,"Incorporar a acessibilidade desde o início do processo é mais eficaz, mais fácil e menos custoso do que realizar melhorias como um projeto separado posterior. Além disso, atender aos padrões de acessibilidade ajuda indiretamente no SEO do ativo digital.",Não informado.,"Especialista em acessibilidade, Equipe , DEV individual",não informa,não informado,não informado
27,Accessible Design Principles (POUR),"desenvolvimento, boas práticas",,"WEB, mobile",interfaces não inclusivas / dificuldades de uso para diferentes tipos de deficiência,gratuito,não,não se aplica,"Incorporar a acessibilidade desde o início do processo é mais eficaz, mais fácil e menos custoso do que realizar melhorias como um projeto separado posterior. Além disso, atender aos padrões de acessibilidade ajuda indiretamente no SEO do ativo digital.",Não informado,"Especialista em acessibilidade, Equipe , DEV individual",não informa,não informado,não informado
